unique_id,Timestamp,User ID,User Name,Comments Provided,Timer,Question Title,Question Answer Provided,Question Correct Answer,Question Comment Provided,number,result_id
1,2024-05-08 17:53:06,390,,,235,,,,,1,
2,,390,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,3,7,,1,1
3,,390,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,6,1,,1,2
4,,390,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,4,7,,1,3
5,,390,,,,Q4 しんぱいしょうで、あわてやすいと思う。,3,7,,1,4
6,,390,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,5,7,,1,5
7,,390,,,,Q6 ひかえめで、おとなしいと思う。,4,1,,1,6
8,,390,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,6,7,,1,7
9,,390,,,,Q8 わすれっぽく、うっかりしていると思う。,3,1,,1,8
10,,390,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,4,1,,1,9
11,,390,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,5,1,,1,10
12,2024-05-08 18:03:24,251,d9,,1639,,,,,2,
13,,251,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,2,1
14,,251,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,2,2
15,,251,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,1,7,,2,3
16,,251,,,,Q4 しんぱいしょうで、あわてやすいと思う。,7,7,,2,4
17,,251,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,7,7,,2,5
18,,251,,,,Q6 ひかえめで、おとなしいと思う。,1,1,,2,6
19,,251,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,1,7,,2,7
20,,251,,,,Q8 わすれっぽく、うっかりしていると思う。,1,1,,2,8
21,,251,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,1,1,,2,9
22,,251,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,7,1,,2,10
23,2024-05-08 18:03:25,254,,,1563,,,,,3,
24,,254,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,3,1
25,,254,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,3,2
26,,254,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,1,7,,3,3
27,,254,,,,Q4 しんぱいしょうで、あわてやすいと思う。,7,7,,3,4
28,,254,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,7,7,,3,5
29,,254,,,,Q6 ひかえめで、おとなしいと思う。,1,1,,3,6
30,,254,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,1,7,,3,7
31,,254,,,,Q8 わすれっぽく、うっかりしていると思う。,1,1,,3,8
32,,254,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,1,1,,3,9
33,,254,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,7,1,,3,10
34,2024-05-08 18:30:32,253,5f,,438,,,,,4,
35,,253,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,4,1
36,,253,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,4,2
37,,253,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,6,7,,4,3
38,,253,,,,Q4 しんぱいしょうで、あわてやすいと思う。,1,7,,4,4
39,,253,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,6,7,,4,5
40,,253,,,,Q6 ひかえめで、おとなしいと思う。,1,1,,4,6
41,,253,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,4,7
42,,253,,,,Q8 わすれっぽく、うっかりしていると思う。,7,1,,4,8
43,,253,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,2,1,,4,9
44,,253,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,2,1,,4,10
45,2024-05-08 18:52:19,148,,,456,,,,,5,
46,,148,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,5,7,,5,1
47,,148,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,5,2
