User ID,Timestamp,Quiz/Survey,Total Correct,Total Questions,Score,Timer,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,Q4 しんぱいしょうで、あわてやすいと思う。,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,Q6 ひかえめで、おとなしいと思う。,Q7 ひとに気をつかう、やさしい人間だと思う。,Q8 わすれっぽく、うっかりしていると思う。,Q9 おちついていて、気分(きぶん）が安定していると思う。
148,2024-05-08 18:52:19,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,456.0,5.0,2.0,7.0,3.0,7.0,5.0,5.0,7.0,2.0,6.0
251,2024-05-08 18:03:24,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,1639.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
252,2024-05-08 20:01:00,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,1665.0,6.0,6.0,7.0,7.0,2.0,6.0,3.0,7.0,7.0,2.0
253,2024-05-08 18:30:32,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,438.0,7.0,2.0,7.0,6.0,1.0,6.0,1.0,7.0,7.0,2.0
254,2024-05-08 18:03:25,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,1563.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0
267,2024-05-08 19:33:54,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,94.0,6.0,5.0,2.0,5.0,7.0,6.0,2.0,7.0,3.0,5.0
277,2024-05-09 08:01:41,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,68.0,7.0,5.0,7.0,5.0,2.0,5.0,6.0,6.0,7.0,1.0
312,2024-05-08 19:29:32,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,787.0,7.0,7.0,7.0,6.0,1.0,7.0,1.0,7.0,7.0,1.0
314,2024-05-11 19:12:59,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,776.0,7.0,7.0,7.0,7.0,3.0,6.0,2.0,7.0,7.0,1.0
315,2024-05-08 23:29:56,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,1692.0,6.0,7.0,5.0,6.0,2.0,6.0,2.0,7.0,6.0,2.0
384,2024-05-10 19:58:02,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,116.0,4.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,6.0
390,2024-05-08 17:53:06,202405_JPNAVI性格診断テスト,0.0,10.0,Not Graded,235.0,3.0,5.0,6.0,4.0,3.0,5.0,4.0,6.0,3.0,4.0
