User ID,Timestamp,Quiz/Survey,Total Correct,Total Questions,Score,Timer,あたらしいことが すきで、ほかのひとと ちがう かんがえをもつ。,あたらしいことを かんがえられる、ユニークなにんげんである。,いつも おちつきがなく、きもちに へんかが おおい。,じぶんと ちがうことを かんがえるひとに けんかすることは ない。,じぶんに きびしく、きちんと せいかつをしている。,ひとと はなしをするのが すき。,ひとまえで えんりょしたり、だまってしまうことは ない。,ほかのひとが かんがえていることが わかる、やさしいにんげんである。,よく しんぱいをしたり、あわてることがある。,わすれものをしたり、ミスをすることは すくない。
0,2025-02-01 17:18:30,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 58,742.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0
277,2025-01-31 14:15:36,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 48,32.0,3.0,6.0,6.0,6.0,3.0,5.0,6.0,5.0,5.0,3.0
1468,2025-02-07 10:26:31,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,191.0,6.0,7.0,7.0,3.0,5.0,7.0,7.0,5.0,1.0,5.0
1469,2025-02-07 13:55:06,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 44,309.0,2.0,4.0,5.0,6.0,3.0,5.0,5.0,3.0,5.0,6.0
1507,2025-02-07 11:26:16,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0
1524,2025-02-07 17:57:25,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 57,520.0,7.0,6.0,7.0,7.0,6.0,1.0,7.0,3.0,7.0,6.0
1525,2025-02-07 17:47:44,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 40,752.0,5.0,3.0,2.0,6.0,7.0,2.0,7.0,2.0,2.0,4.0
1528,2025-02-07 17:43:29,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,223.0,7.0,6.0,3.0,7.0,7.0,7.0,3.0,3.0,7.0,3.0
1588,2025-02-07 17:46:13,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 47,375.0,6.0,6.0,2.0,2.0,7.0,5.0,5.0,6.0,3.0,5.0
1595,2025-02-07 12:10:44,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 58,309.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0
1634,2025-02-07 18:01:38,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 51,226.0,5.0,6.0,5.0,7.0,6.0,3.0,3.0,5.0,5.0,6.0
1655,2025-02-07 11:27:58,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 56,754.0,7.0,5.0,3.0,5.0,7.0,7.0,7.0,6.0,5.0,4.0
1659,2025-02-07 12:34:05,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,457.0,6.0,5.0,2.0,7.0,7.0,7.0,5.0,6.0,2.0,6.0
1661,2025-02-07 11:35:32,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,2361.0,6.0,3.0,6.0,3.0,6.0,6.0,2.0,5.0,5.0,3.0
1686,2025-02-07 17:50:23,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,110.0,5.0,5.0,2.0,6.0,7.0,6.0,5.0,6.0,2.0,6.0
1693,2025-02-07 17:46:13,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,392.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,2.0,1.0,4.0
1699,2025-02-07 12:34:10,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,351.0,7.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,7.0,4.0
1704,2025-02-07 13:15:13,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,831.0,6.0,7.0,5.0,1.0,6.0,6.0,5.0,7.0,5.0,5.0
1706,2025-02-07 12:39:11,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 49,188.0,6.0,6.0,1.0,6.0,6.0,7.0,6.0,5.0,1.0,5.0
1707,2025-02-07 16:21:55,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 43,615.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,5.0,5.0,3.0
1708,2025-02-07 11:34:08,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 64,1545.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0
1713,2025-02-07 11:28:26,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 61,411.0,6.0,5.0,6.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0
1716,2025-02-07 12:37:26,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,711.0,5.0,6.0,2.0,4.0,7.0,7.0,7.0,7.0,5.0,4.0
1720,2025-02-07 17:45:02,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,399.0,5.0,5.0,5.0,2.0,6.0,6.0,3.0,6.0,5.0,2.0
1721,2025-02-07 17:58:15,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,120.0,6.0,1.0,6.0,6.0,7.0,6.0,1.0,6.0,6.0,1.0
1724,2025-02-07 13:24:26,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 43,321.0,6.0,6.0,2.0,2.0,7.0,7.0,2.0,6.0,3.0,2.0
1727,2025-02-07 11:38:26,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 47,325.0,5.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,5.0,4.0
1728,2025-02-07 12:07:56,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 59,155.0,7.0,7.0,5.0,7.0,6.0,6.0,5.0,6.0,5.0,5.0
1730,2025-02-07 17:48:29,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 49,505.0,5.0,7.0,2.0,4.0,7.0,6.0,5.0,5.0,4.0,4.0
1731,2025-02-07 11:22:09,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,268.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0
1736,2025-02-07 13:12:47,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,518.0,6.0,4.0,1.0,5.0,4.0,7.0,3.0,7.0,3.0,5.0
1780,2025-02-07 13:17:03,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 62,625.0,7.0,6.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,6.0
1781,2025-02-07 12:34:36,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 52,337.0,6.0,4.0,7.0,2.0,7.0,6.0,2.0,7.0,7.0,4.0
1787,2025-02-07 11:33:14,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 49,237.0,6.0,4.0,4.0,7.0,5.0,5.0,4.0,6.0,4.0,4.0
1793,2025-02-07 11:23:23,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,310.0,7.0,7.0,2.0,4.0,6.0,6.0,3.0,5.0,2.0,3.0
1794,2025-02-07 12:09:06,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 51,263.0,5.0,5.0,5.0,5.0,5.0,7.0,3.0,6.0,5.0,5.0
1800,2025-02-07 11:26:43,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 49,215.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0
1801,2025-02-07 17:47:07,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 49,528.0,7.0,5.0,2.0,7.0,7.0,4.0,2.0,7.0,2.0,6.0
1804,2025-02-07 12:35:11,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,537.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,2.0,6.0
1806,2025-02-07 12:10:28,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 41,381.0,7.0,6.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0
